Tweet ID,Text,Created At,Retweet Count,Reply Count,Like Count,Quote Count,Source
1998802466771550637,"RT @DI313_: ‼️🇨🇳💥🇯🇵 CHINA AND JAPAN ARE ON THE BRINK OF WAR

Japan has accused Chinese fighter jets of directing their fire control radar a…",,,,,,
1998802460413251881,"@irdh34 Japan
England 
Scotland 
Wales
China
Spain",,,,,,
1998802442717127059,"RT @slantchev: The full version of NSS effectively proposes to destroy the EU and exclude Europe altogether from international relations, t…",,,,,,
1998802437654852087,"Was nur wenige wissen: Der an dem potentiell hochexplosiven Zwischenfall beteiligte chinesische Flugzeugträger ""#Liaoning"" wurde 1998 von der 🇺🇦 für lächerliche 20 Mio USD über einen Strohmann an die🇨🇳Marine verkauft. Im Dezember 1994 war China zudem 

/2
https://t.co/GzUQZy1P8q",,,,,,
1998802434853056795,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802434102382598,"RT @GlobalStatsX: 📊 The Top 50 Largest Economies in 2026  
(IMF projections, billions USD)

1. 🇺🇸 U.S.: $31,821.29  
2. 🇨🇳 China: $20,650.7…",,,,,,
1998802431782826056,"RT @JimFergusonUK: https://t.co/amq9dveJlm

🚨 PACIFIC FLASHPOINT: CARRIER GROUPS, BOMBERS, AND RED LINES 🚨

The quiet phase is over.

In a…",,,,,,
1998802399960641702,"RT @royngerng: China keeps threatening, we need to push back with facts:
1) China didn't fight WW2, it was ROC
2) China isn't the successor…",,,,,,
1998802363705077866,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998802356411015498,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802355052236995,"RT @PandemicTruther: Between 1937 to 1945, every Japanese soldier deployed to China acted like a sadistic brute. None of them was innocent.…",,,,,,
1998802314174541867,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802309896130729,"RT @royngerng: China keeps threatening, we need to push back with facts:
1) China didn't fight WW2, it was ROC
2) China isn't the successor…",,,,,,
1998802289251987706,"China Russia Nkorea against Taiwan Japan and US
testing the waters https://t.co/Oo8UIipghM",,,,,,
1998802284386635786,"RT @samesama4149224: #China provoked #Japan again.
Who do you support,China or Japan?
I think someone should teach China a lesson that what…",,,,,,
1998802254414098778,"@Tauwhituvtcm @PeterCronau Australia stands with its mate Japan in condemning #Chinese #China military belligerence. The #CCP are authoritian and paranoid. Making china 🇨🇳 the ""Sick man of Asia"" 
亞洲病夫. https://t.co/ccVmEXhSzB",,,,,,
1998802239457210456,"@irdh34 Canada, Mexico, England, Spain, Haiti, China, Japan, Cuba, Thailand, Viet Nam,",,,,,,
1998802235653075031,"RT @stats_feed: Top 35 countries by cultural influence ranking:

1. Italy 🇮🇹 
2. France 🇫🇷 
3. USA 🇺🇸 
4. Spain 🇪🇸 
5. Japan 🇯🇵 
6. UK 🇬🇧…",,,,,,
